x_max,signal,k,gamma,peak_omega,abs_gap,rel_gap
500000,theta_norm,1,14.134725141,14.403006552986549,0.268281411986548,0.018980306253593527
500000,theta_norm,2,21.022039639,20.80434279875835,0.2176968402416506,0.010355647880987738
500000,theta_norm,3,25.01085758,24.80517795236572,0.20567962763427872,0.008223613563684878
500000,theta_norm,4,30.424876126,30.40634716741605,0.018528958583949873,0.0006090068701418868
500000,theta_norm,5,32.935061588,32.80684825958047,0.12821332841953392,0.0038929129698742956
500000,theta_norm,6,37.586178159,37.60785044390932,0.021672284909321604,0.0005766025164261661
500000,theta_norm,7,40.918719012,40.80851856679522,0.11020044520477512,0.0026931548168078593
500000,theta_norm,8,43.327073281,43.20901965895965,0.11805362204034964,0.002724707973573629
500000,theta_norm,9,48.005150881,48.0100218432885,0.004870962288499925,0.00010146749253167763
500000,theta_norm,10,49.773832478,49.61035590473144,0.1634765732685608,0.0032843879028366424
500000,psi_norm,1,14.134725141,14.403006552986549,0.268281411986548,0.018980306253593527
500000,psi_norm,2,21.022039639,20.80434279875835,0.2176968402416506,0.010355647880987738
500000,psi_norm,3,25.01085758,24.80517795236572,0.20567962763427872,0.008223613563684878
500000,psi_norm,4,30.424876126,30.40634716741605,0.018528958583949873,0.0006090068701418868
500000,psi_norm,5,32.935061588,32.80684825958047,0.12821332841953392,0.0038929129698742956
500000,psi_norm,6,37.586178159,37.60785044390932,0.021672284909321604,0.0005766025164261661
500000,psi_norm,7,40.918719012,40.80851856679522,0.11020044520477512,0.0026931548168078593
500000,psi_norm,8,43.327073281,43.20901965895965,0.11805362204034964,0.002724707973573629
500000,psi_norm,9,48.005150881,48.0100218432885,0.004870962288499925,0.00010146749253167763
500000,psi_norm,10,49.773832478,49.61035590473144,0.1634765732685608,0.0032843879028366424
1000000,theta_norm,1,14.134725141,13.973313100950909,0.1614120400490915,0.011419538649597818
1000000,theta_norm,2,21.022039639,21.327688417240857,0.3056487782408581,0.014539444482533454
1000000,theta_norm,3,25.01085758,25.004876075385834,0.0059815046141658,0.0002391563182123322
1000000,theta_norm,4,30.424876126,30.1529387967888,0.27193732921120173,0.008937992979330947
1000000,theta_norm,5,32.935061588,33.09468892330478,0.15962733530477635,0.004846729521918887
