peak_omega,amp_norm,nearest_zero,abs_gap
13.65416793308047,0.6018492134036875,14.134725141,0.4805572079195297
14.080860680989236,1.0,14.134725141,0.0538644600107645
14.507553428898,0.7337957084513582,14.134725141,0.37282828789799893
14.934246176806765,0.2755273306663706,14.134725141,0.7995210358067641
20.481251899620705,0.35454520142421014,21.022039639,0.5407877393792937
20.907944647529472,0.6570640992140256,21.022039639,0.11409499147052671
21.334637395438236,0.5432970061033527,21.022039639,0.31259775643823673
24.748179378708354,0.4819807388926965,25.01085758,0.26267820129164576
25.17487212661712,0.5308351378973031,25.01085758,0.16401454661712123
30.295185101522293,0.4559409021531445,30.424876126,0.12969102447770808
30.721877849431056,0.3781193298123909,30.424876126,0.29700172343105535
32.85534158897488,0.4156174875096483,32.935061588,0.07971999902512295
33.28203433688365,0.3272808847003352,32.935061588,0.34697274888364404
37.548961815971296,0.3732487981224927,37.586178159,0.037216343028703136
37.975654563880056,0.2723589953350462,37.586178159,0.38947640488005675
40.96250379924141,0.3449906663807205,40.918719012,0.04378478724141388
43.09596753878523,0.2967284632585962,43.327073281,0.23110574221476554
43.522660286694,0.29924480222409516,43.327073281,0.19558700569400145
48.216280513690414,0.28478435731764595,48.005150881,0.2111296326904153
49.92305150532547,0.27210651686399057,49.773832478,0.149219027325465
