x,u_logx,theta,psi,prime_power_corr,theta_minus_x,psi_minus_x,theta_norm,psi_norm,angle_theta_norm,angle_psi_norm,angle_theta_minus_x,angle_psi_minus_x,angle_theta_norm_unwrapped,angle_psi_norm_unwrapped
10,2.302585092994046,5.3471075307174685,7.832014180505469,2.4849066497880004,-4.652892469282532,-2.1679858194945307,-1.4713737910777835,-0.685577312454939,-1.4713737910777835,-0.685577312454939,1.630292837897054,-2.1679858194945307,-1.4713737910777835,-0.685577312454939
11,2.3978952727983707,7.745002803515839,10.22990945330384,2.4849066497880004,-3.254997196484161,-0.7700905466961601,-0.9814185813087904,-0.2321910361809842,-0.9814185813087904,-0.2321910361809842,3.028188110695426,-0.7700905466961601,-0.9814185813087904,-0.2321910361809842
12,2.4849066497880004,7.745002803515839,10.22990945330384,2.4849066497880004,-4.254997196484161,-1.77009054669616,-1.2283118883956168,-0.51098112681252,-1.2283118883956168,-0.51098112681252,2.028188110695426,-1.77009054669616,-1.2283118883956168,-0.51098112681252
13,2.5649493574615367,10.309952160977376,12.794858810765376,2.4849066497880004,-2.690047839022624,-0.2051411892346237,-0.7460850320805515,-0.0568959289611613,-0.7460850320805515,-0.0568959289611613,-2.690047839022624,-0.2051411892346237,-0.7460850320805515,-0.0568959289611613
14,2.6390573296152584,10.309952160977376,12.794858810765376,2.4849066497880004,-3.690047839022624,-1.2051411892346238,-0.9862067681734444,-0.3220875309146616,-0.9862067681734444,-0.3220875309146616,2.5931374681569626,-1.2051411892346238,-0.9862067681734444,-0.3220875309146616
15,2.70805020110221,10.309952160977376,12.794858810765376,2.4849066497880004,-4.690047839022624,-2.205141189234624,-1.2109651448967136,-0.5693650067961143,-1.2109651448967136,-0.5693650067961143,1.5931374681569628,-2.205141189234624,-1.2109651448967136,-0.5693650067961143
16,2.772588722239781,10.309952160977376,13.488005991325322,3.1780538303479458,-5.690047839022624,-2.5119940086746784,-1.422511959755656,-0.6279985021686696,-1.422511959755656,-0.6279985021686696,0.5931374681569628,-2.5119940086746784,-1.422511959755656,-0.6279985021686696
17,2.833213344056216,13.143165505033592,16.32121933538154,3.1780538303479458,-3.856834494966407,-0.6787806646184613,-0.9354197648983672,-0.164628492755816,-0.9354197648983672,-0.164628492755816,2.426350812213179,-0.6787806646184613,-0.9354197648983672,-0.164628492755816
18,2.8903717578961645,13.143165505033592,16.32121933538154,3.1780538303479458,-4.856834494966407,-1.678780664618461,-1.1447668688304955,-0.3956923973588577,-1.1447668688304955,-0.39569239735885775,1.4263508122131798,-1.678780664618461,-1.1447668688304955,-0.39569239735885775
19,2.9444389791664403,16.087604484200035,19.26565831454798,3.1780538303479458,-2.9123955157999646,0.2656583145479807,-0.668149354578582,0.0609461971908415,-0.668149354578582,0.060946197190841496,-2.9123955157999646,0.2656583145479807,-0.668149354578582,0.060946197190841496
20,2.995732273553991,16.087604484200035,19.26565831454798,3.1780538303479458,-3.9123955157999646,-0.7343416854520193,-0.8748382328194073,-0.1642037927382483,-0.8748382328194073,-0.1642037927382483,2.370789791379622,-0.7343416854520193,-0.8748382328194073,-0.1642037927382483
21,3.044522437723423,16.087604484200035,19.26565831454798,3.1780538303479458,-4.912395515799965,-1.7343416854520193,-1.071972585462618,-0.3784643835476747,-1.071972585462618,-0.3784643835476747,1.3707897913796219,-1.7343416854520193,-1.071972585462618,-0.3784643835476747
22,3.091042453358316,16.087604484200035,19.26565831454798,3.1780538303479458,-5.912395515799965,-2.7343416854520197,-1.2605269593462511,-0.5829636060993777,-1.2605269593462511,-0.5829636060993777,0.3707897913796219,-2.7343416854520197,-1.2605269593462511,-0.5829636060993777
23,3.1354942159291497,19.223098700129185,22.40115253047713,3.1780538303479458,-3.776901299870815,-0.5988474695228696,-0.787538361493967,-0.1248683292171231,-0.787538361493967,-0.1248683292171231,2.5062840073087718,-0.5988474695228696,-0.787538361493967,-0.1248683292171231
24,3.1780538303479458,19.223098700129185,22.40115253047713,3.1780538303479458,-4.776901299870815,-1.5988474695228696,-0.9750808946934328,-0.3263633730725924,-0.9750808946934328,-0.3263633730725924,1.5062840073087715,-1.5988474695228696,-0.9750808946934328,-0.3263633730725924
25,3.218875824868201,19.223098700129185,24.01059044291123,4.787491742782046,-5.776901299870815,-0.98940955708877,-1.155380259974163,-0.197881911417754,-1.155380259974163,-0.197881911417754,0.5062840073087715,-0.98940955708877,-1.155380259974163,-0.197881911417754
26,3.258096538021482,19.223098700129185,24.01059044291123,4.787491742782046,-6.776901299870815,-1.98940955708877,-1.3290596911436,-0.3901553135432161,-1.3290596911436,-0.3901553135432161,-0.4937159926912284,-1.98940955708877,-1.3290596911436,-0.3901553135432161
27,3.295836866004329,19.223098700129185,25.10920273157934,5.886104031450156,-7.776901299870815,-1.890797268420659,-1.4966653529805218,-0.3638841039685588,-1.4966653529805218,-0.3638841039685588,-1.4937159926912285,-1.890797268420659,-1.4966653529805218,-0.3638841039685588
28,3.332204510175204,19.223098700129185,25.10920273157934,5.886104031450156,-8.776901299870815,-2.890797268420659,-1.6586784372298369,-0.546309333067564,-1.6586784372298369,-0.546309333067564,-2.4937159926912282,-2.890797268420659,-1.6586784372298369,-0.546309333067564
29,3.367295829986474,22.59039453011566,28.476498561565812,5.886104031450156,-6.40960546988434,-0.5235014384341845,-1.190233855311654,-0.0972117766462089,-1.190233855311654,-0.0972117766462089,-0.12642016270475387,-0.5235014384341845,-1.190233855311654,-0.0972117766462089
30,3.4011973816621555,22.59039453011566,28.476498561565812,5.886104031450156,-7.40960546988434,-1.5235014384341845,-1.3528026860231064,-0.278152034740657,-1.3528026860231064,-0.278152034740657,-1.1264201627047539,-1.5235014384341845,-1.3528026860231064,-0.278152034740657
31,3.4339872044851463,26.024381734600805,31.91048576605096,5.886104031450156,-4.975618265399195,0.9104857660509608,-0.8936474213269603,0.1635280710026623,-0.8936474213269603,0.1635280710026623,1.3075670417803915,0.9104857660509608,-0.8936474213269603,0.1635280710026623
32,3.4657359027997265,26.024381734600805,32.60363294661091,6.579251212010101,-5.975618265399195,0.603632946610908,-1.0563500493114912,0.1067082374740475,-1.0563500493114912,0.10670823747404751,0.30756704178039157,0.603632946610908,-1.0563500493114912,0.10670823747404751
33,3.49650756146648,26.024381734600805,32.60363294661091,6.579251212010101,-6.975618265399195,-0.3963670533890919,-1.2142992764824427,-0.06899864755204,-1.2142992764824427,-0.06899864755204,-0.6924329582196085,-0.3963670533890919,-1.2142992764824427,-0.06899864755204
34,3.5263605246161616,26.024381734600805,32.60363294661091,6.579251212010101,-7.975618265399195,-1.396367053389092,-1.3678072481527124,-0.2394749739958433,-1.3678072481527124,-0.2394749739958433,-1.6924329582196085,-1.396367053389092,-1.3678072481527124,-0.2394749739958433
35,3.555348061489413,26.024381734600805,32.60363294661091,6.579251212010101,-8.975618265399195,-2.396367053389092,-1.5171563931642231,-0.4050599622126059,-1.5171563931642231,-0.4050599622126059,-2.6924329582196083,-2.396367053389092,-1.5171563931642231,-0.4050599622126059
36,3.58351893845611,26.024381734600805,32.60363294661091,6.579251212010101,-9.975618265399197,-3.396367053389092,-1.6626030442331992,-0.5660611755648487,-1.6626030442331992,-0.5660611755648487,2.590752348959976,2.8868182537904947,-1.6626030442331992,-0.5660611755648487
37,3.610917912644224,29.63529964724503,36.214550859255134,6.579251212010101,-7.364700352754969,-0.7854491407448663,-1.2107492798003243,-0.129127043318319,-1.2107492798003243,-0.129127043318319,-1.0815150455753828,-0.7854491407448663,-1.2107492798003243,-0.129127043318319
38,3.6375861597263857,29.63529964724503,36.214550859255134,6.579251212010101,-8.36470035275497,-1.7854491407448665,-1.356933578556902,-0.2896380969683311,-1.356933578556902,-0.2896380969683311,-2.0815150455753826,-1.7854491407448665,-1.356933578556902,-0.2896380969683311
39,3.6635616461296463,29.63529964724503,36.214550859255134,6.579251212010101,-9.36470035275497,-2.7854491407448663,-1.4995521784245014,-0.4460288284254417,-1.4995521784245014,-0.4460288284254418,-3.0815150455753826,-2.7854491407448663,-1.4995521784245014,-0.4460288284254418
40,3.688879454113936,29.63529964724503,36.214550859255134,6.579251212010101,-10.36470035275497,-3.7854491407448654,-1.638803018992818,-0.5985320625740539,-1.638803018992818,-0.5985320625740539,2.2016702616042036,2.4977361664347213,-1.638803018992818,-0.5985320625740539
41,3.713572066704308,33.348871713949336,39.92812292595944,6.579251212010101,-7.651128286050664,-1.0718770740405643,-1.194905487124855,-0.1673990749350669,-1.194905487124855,-0.16739907493506687,-1.3679429788710775,-1.0718770740405643,-1.194905487124855,-0.16739907493506687
42,3.737669618283368,33.348871713949336,39.92812292595944,6.579251212010101,-8.651128286050664,-2.0718770740405645,-1.334898075489428,-0.3196975732341162,-1.334898075489428,-0.3196975732341162,-2.3679429788710773,-2.0718770740405645,-1.334898075489428,-0.3196975732341162
43,3.7612001156935615,37.1100718296429,43.689323041653,6.579251212010101,-5.889928170357102,0.6893230416529974,-0.8982056253411921,0.1051207783494046,-0.8982056253411921,0.1051207783494046,0.3932571368224844,0.6893230416529974,-0.8982056253411921,0.1051207783494046
44,3.784189633918261,37.1100718296429,43.689323041653,6.579251212010101,-6.889928170357102,-0.3106769583470026,-1.0386957533442904,-0.0468363137202673,-1.0386957533442904,-0.0468363137202673,-0.6067428631775156,-0.3106769583470026,-1.0386957533442904,-0.0468363137202673
45,3.80666248977032,37.1100718296429,43.689323041653,6.579251212010101,-7.889928170357102,-1.3106769583470026,-1.1761610484339349,-0.1953841850271038,-1.1761610484339349,-0.19538418502710378,-1.6067428631775156,-1.3106769583470026,-1.1761610484339349,-0.19538418502710378
46,3.828641396489095,37.1100718296429,43.689323041653,6.579251212010101,-8.889928170357102,-2.3106769583470026,-1.3107483995139768,-0.3406907307807298,-1.3107483995139768,-0.3406907307807298,-2.606742863177516,-2.3106769583470026,-1.3107483995139768,-0.3406907307807298
47,3.8501476017100575,40.96021943135296,47.53947064336305,6.579251212010101,-6.039780568647046,0.5394706433630532,-0.8809925412948502,0.0786898808075154,-0.8809925412948502,0.07868988080751539,0.24340473853254022,0.5394706433630532,-0.8809925412948502,0.07868988080751539
48,3.871201010907891,40.96021943135296,47.53947064336305,6.579251212010101,-7.039780568647046,-0.4605293566369468,-1.0161048015860672,-0.0664716870060166,-1.0161048015860672,-0.0664716870060166,-0.7565952614674598,-0.4605293566369468,-1.0161048015860672,-0.0664716870060166
49,3.8918202981106265,40.96021943135296,49.48538079241837,8.525161361065415,-8.039780568647046,0.4853807924183684,-1.1485400812352924,0.069340113202624,-1.1485400812352924,0.06934011320262398,-1.7565952614674598,0.48538079241836846,-1.1485400812352924,0.06934011320262398
50,3.912023005428146,40.96021943135296,49.48538079241837,8.525161361065415,-9.039780568647046,-0.5146192075816316,-1.2784180281057422,-0.0727781462819638,-1.2784180281057422,-0.0727781462819638,-2.7565952614674596,-0.5146192075816316,-1.2784180281057422,-0.0727781462819638
51,3.9318256327243257,40.96021943135296,49.48538079241837,8.525161361065415,-10.039780568647046,-1.5146192075816316,-1.4058504778287866,-0.2120891111262844,-1.4058504778287866,-0.2120891111262844,2.5265900457121266,-1.5146192075816316,-1.4058504778287866,-0.2120891111262844
52,3.951243718581428,40.96021943135296,49.48538079241837,8.525161361065415,-11.039780568647046,-2.514619207581632,-1.5309421119279971,-0.3487149419693153,-1.5309421119279971,-0.3487149419693153,1.5265900457121266,-2.514619207581632,-1.5309421119279971,-0.3487149419693153
53,3.970291913552122,44.93051134490508,53.45567270597049,8.525161361065415,-8.069488655094922,0.4556727059704926,-1.1084295124413868,0.062591459868132,-1.1084295124413868,0.06259145986813201,-1.7863033479153356,0.4556727059704926,-1.1084295124413868,0.06259145986813201
54,3.9889840465642745,44.93051134490508,53.45567270597049,8.525161361065415,-9.069488655094922,-0.5443272940295074,-1.2342010796079674,-0.0740735624134556,-1.2342010796079674,-0.0740735624134556,-2.7863033479153354,-0.5443272940295074,-1.2342010796079674,-0.0740735624134556
55,4.007333185232471,44.93051134490508,53.45567270597049,8.525161361065415,-10.069488655094922,-1.5443272940295074,-1.3577695732680346,-0.2082370498465849,-1.3577695732680346,-0.20823704984658492,2.496881959264251,-1.5443272940295074,-1.3577695732680346,-0.20823704984658492
56,4.02535169073515,44.93051134490508,53.45567270597049,8.525161361065415,-11.069488655094922,-2.5443272940295074,-1.4792226426480806,-0.3400000362170021,-1.4792226426480806,-0.3400000362170021,1.4968819592642508,-2.5443272940295074,-1.4792226426480806,-0.3400000362170021
57,4.04305126783455,44.93051134490508,53.45567270597049,8.525161361065415,-12.069488655094922,-3.5443272940295074,-1.5986428256902685,-0.4694576184970871,-1.5986428256902685,-0.46945761849708706,0.4968819592642509,2.7388580131500793,-1.5986428256902685,-0.46945761849708706
58,4.060443010546419,44.93051134490508,53.45567270597049,8.525161361065415,-13.069488655094922,-4.544327294029507,-1.716107934601127,-0.5966994067260901,-1.716107934601127,-0.5966994067260901,-0.5031180407357491,1.738858013150079,-1.716107934601127,-0.5966994067260901
59,4.07753744390572,49.0080487888108,57.53321014987621,8.525161361065415,-9.991951211189203,-1.4667898501237886,-1.3008412467582464,-0.1909597732253419,-1.3008412467582464,-0.1909597732253419,2.5744194031699696,-1.4667898501237886,-1.3008412467582464,-0.1909597732253419
60,4.0943445622221,49.0080487888108,57.53321014987621,8.525161361065415,-10.991951211189203,-2.4667898501237886,-1.4190547994420075,-0.3184612002707641,-1.4190547994420075,-0.3184612002707641,1.5744194031699696,-2.4667898501237886,-1.4190547994420075,-0.3184612002707641
