x,t,theta_norm,psi_norm
100000000,18.420680743952367,-1.2269981986612082,-0.1757203380599618
100011514,18.420795878963766,-1.19940192288998,-0.1481845791292868
100023029,18.420911013975168,-1.2418925804838987,-0.19073574836857482
100034546,18.421026148986567,-1.2256343906860256,-0.17453807027483909
100046064,18.42114128399797,-1.2113124576700154,-0.1602766437665388
100057584,18.421256419009367,-1.2229671804290203,-0.17199187308896446
100069104,18.42137155402077,-1.2272473926675178,-0.17633258144226766
100080626,18.421486689032168,-1.2317198661039304,-0.18086555104795585
100092150,18.42160182404357,-1.2695281290107083,-0.21873431017604544
100103675,18.42171695905497,-1.27060073585862,-0.21986740804664756
100115201,18.42183209406637,-1.231261431668024,-0.18058858968040806
100126728,18.42194722907777,-1.2288395378203765,-0.178227176459071
100138257,18.42206236408917,-1.191632965804429,-0.1410810851171831
100149787,18.42217749910057,-1.19870321619493,-0.14729139604305622
100161318,18.422292634111972,-1.2058652670335177,-0.15451397014000903
100172851,18.42240776912337,-1.1819282163605564,-0.1306374427695379
100184385,18.422522904134773,-1.1783325731173497,-0.12618204166234645
100195921,18.42263803914617,-1.1730894639635363,-0.12099950362656833
100207457,18.422753174157574,-1.1457554887336672,-0.0937260890549065
100218995,18.422868309168972,-1.1314988916322393,-0.07953005265156865
100230535,18.42298344418037,-1.1395184377809775,-0.08761015953585208
100242076,18.423098579191773,-1.1329092066460271,-0.08106148392493598
100253618,18.42321371420317,-1.126393399389205,-0.07460622698092938
100265161,18.423328849214574,-1.136529864737172,-0.08480323743078483
100276706,18.423443984225973,-1.121100497086885,-0.06943441491557183
100288252,18.423559119237375,-1.1517581134422614,-0.10015257119386854
100299799,18.423674254248773,-1.1401940776261477,-0.08864907008881417
100311348,18.423789389260175,-1.1417004434062836,-0.0902159706095458
100322898,18.423904524271574,-1.1341020717097936,-0.08267812844056639
100334449,18.424019659282976,-1.1357937585505347,-0.08443033959602692
100346002,18.424134794294375,-1.135838409316014,-0.08453551470211783
100357556,18.424249929305777,-1.1893107072129838,-0.1380683317256864
100369111,18.424365064317175,-1.19321569148585,-0.14203382991143343
100380668,18.424480199328578,-1.2138631594885005,-0.16274181184921768
100392226,18.424595334339976,-1.177596687956849,-0.12653584903776297
100403785,18.42471046935138,-1.2315257174224135,-0.18052538200888332
100415346,18.424825604362777,-1.2415133897765396,-0.1905735578871839
100426908,18.424940739374176,-1.2644624423788708,-0.2135831087978326
100438471,18.425055874385578,-1.2801476972716086,-0.22932885678332698
100450036,18.425171009396976,-1.283154975111099,-0.23239662773056377
100461602,18.42528614440838,-1.2347824806130008,-0.18408462112343763
100473169,18.425401279419777,-1.3004756801740285,-0.24983830335896098
100484738,18.42551641443118,-1.257906361160015,-0.20732946703080815
100496308,18.425631549442578,-1.2724121765015586,-0.22189575984052562
100507879,18.42574668445398,-1.2373854560850066,-0.18692951167475844
100519452,18.42586181946538,-1.2264463429598735,-0.17605087080815618
100531026,18.42597695447678,-1.2523553952571773,-0.20202039014539405
100542601,18.42609208948818,-1.234251194332353,-0.18397665104220615
100554177,18.42620722449958,-1.2088912561059901,-0.15867716941948093
100565755,18.42632235951098,-1.2829480213935684,-0.23279439131422677
100577335,18.426437494522382,-1.2726712267449956,-0.22257805327394523
100588915,18.42655262953378,-1.2807607932537208,-0.2307280659508298
100600497,18.426667764545183,-1.3276217832733037,-0.27764950213849415
100612081,18.42678289955658,-1.295676360791409,-0.2457645258221992
100623665,18.426898034567984,-1.3078141706342523,-0.25796277139231455
100635251,18.427013169579382,-1.3421853243911523,-0.29239436087280557
100646839,18.42712830459078,-1.3179680484754133,-0.26823752067457496
100658427,18.427243439602183,-1.334153171910425,-0.28448306939057333
100670017,18.42735857461358,-1.3101238273740663,-0.26051415012792223
100681609,18.427473709624984,-1.370767792121191,-0.3212185401390766
100693201,18.427588844636382,-1.3561054834459847,-0.3066166462931865
100704795,18.427703979647784,-1.3140924128373277,-0.26466399050297346
100716390,18.427819114659183,-1.35847818749682,-0.30911017475812175
100727987,18.427934249670585,-1.3589843682265064,-0.3096767650695999
100739585,18.428049384681984,-1.3907953574489236,-0.3415481586498292
100751184,18.428164519693386,-1.336406593156073,-0.2863018314779835
100762785,18.428279654704784,-1.346470063327214,-0.2964257536106396
100774387,18.428394789716187,-1.371310664370716,-0.32132680138622116
100785990,18.428509924727585,-1.374213256475671,-0.3233720116552608
100797595,18.428625059738987,-1.4305384780603045,-0.37975772755860554
100809201,18.428740194750386,-1.4759371643265466,-0.4252169029086694
100820808,18.428855329761788,-1.4425026508779184,-0.3918428733092798
100832417,18.428970464773187,-1.4551453686286226,-0.4045460748845773
100844027,18.42908559978459,-1.4807253967146738,-0.43018658155945305
100855638,18.429200734795987,-1.4550127439822862,-0.4045344021804288
100867251,18.429315869807386,-1.477204513304045,-0.4267866448273295
100878865,18.429431004818788,-1.4481091260373822,-0.3977517256491646
100890480,18.429546139830187,-1.4337875782301095,-0.38349064069405403
100902097,18.42966127484159,-1.4453454019294574,-0.39510892721377205
100913715,18.429776409852987,-1.4129637007083893,-0.3627876835755581
100925335,18.42989154486439,-1.3734392711859185,-0.32332371160117257
100936955,18.430006679875788,-1.3852757175462038,-0.3352206050693093
100948577,18.43012181488719,-1.380793763137311,-0.33079909773232147
100960201,18.43023694989859,-1.3765040264094794,-0.32656980803806396
100971825,18.43035208490999,-1.3281882388935415,-0.27831445711729463
100983452,18.43046721992139,-1.320517953390039,-0.2707046133674023
100995079,18.430582354932792,-1.375195623619787,-0.32544271491297716
101006708,18.43069748994419,-1.3273632389952865,-0.2776707615618287
101018338,18.430812624955593,-1.3291398136674184,-0.27950776226720253
101029969,18.43092775996699,-1.3163390780316644,-0.2667674474248917
101041602,18.431042894978393,-1.3202336403271797,-0.2707224304678249
101053236,18.431158029989792,-1.2912174827166896,-0.24176668836378448
101064871,18.43127316500119,-1.269630274089759,-0.22023989000264774
101076508,18.431388300012593,-1.255570258580515,-0.20624028470962638
101088146,18.43150343502399,-1.2452704150839262,-0.19600084618743766
101099786,18.431618570035393,-1.2516611600554888,-0.2024519960808699
101111427,18.431733705046792,-1.2599765179817406,-0.21082775368600407
101123069,18.431848840058194,-1.2445552431631244,-0.19546687330359752
