signal,lambda1,lambda2,trace,lambda1_share,effective_rank
theta_norm,168.68374420804187,0.0004205339937091611,168.68479287268704,0.999993783288776,1.000012433528566
psi_norm,168.68389914428747,0.0004205704344349921,168.68494751338181,0.9999937850465628,1.0000124300129272
