1,2,3,4,5,6,7,8,9,10,signal,k_row
16.724915716626843,16.77472642343131,16.77874693966787,16.793557645196348,16.805566648104065,16.81230712863499,16.81398941900904,16.817349003093685,16.817943229236505,16.82389150118766,theta_norm,1
16.77472642343131,16.82528677920067,16.82911104244261,16.84391087906772,16.856007651714513,16.86278721816996,16.864456462328967,16.867795980274245,16.868403006274225,16.874410752124195,theta_norm,2
16.77874693966787,16.82911104244261,16.833402649043187,16.847974690812897,16.86007101501333,16.86700237338447,16.8685189245518,16.87192456699465,16.872556744241123,16.878504855042532,theta_norm,3
16.793557645196348,16.84391087906772,16.847974690812897,16.862874305697275,16.874882943401683,16.881737461712497,16.883333708410973,16.886704884897856,16.887353165464525,16.893278011602096,theta_norm,4
16.805566648104065,16.856007651714513,16.86007101501333,16.874882943401683,16.887044856416363,16.893820175911035,16.89541124920651,16.8988250030575,16.899466371911142,16.905418507435616,theta_norm,5
16.81230712863499,16.86278721816996,16.86700237338447,16.881737461712497,16.893820175911035,16.900754185043684,16.9022845047342,16.90568694042082,16.90632358580009,16.91227438628958,theta_norm,6
16.81398941900904,16.864456462328967,16.8685189245518,16.883333708410973,16.89541124920651,16.9022845047342,16.90392648622853,16.907287403579122,16.907913718001183,16.91387656285724,theta_norm,7
16.817349003093685,16.867795980274245,16.87192456699465,16.886704884897856,16.8988250030575,16.90568694042082,16.907287403579122,16.910712214925514,16.911305191584017,16.917260529571333,theta_norm,8
16.817943229236505,16.868403006274225,16.872556744241123,16.887353165464525,16.899466371911142,16.90632358580009,16.907913718001183,16.911305191584017,16.911980794243096,16.91789764884844,theta_norm,9
16.82389150118766,16.874410752124195,16.878504855042532,16.893278011602096,16.905418507435616,16.91227438628958,16.91387656285724,16.917260529571333,16.91789764884844,16.923894885261852,theta_norm,10
16.724915716626843,16.77472642343131,16.77874693966787,16.793557645196348,16.805566648104065,16.81230712863499,16.81398941900904,16.817425826020337,16.817943229236505,16.82389150118766,psi_norm,1
16.77472642343131,16.82528677920067,16.82911104244261,16.84391087906772,16.856007651714513,16.86278721816996,16.864456462328967,16.867873322675372,16.868403006274225,16.874410752124195,psi_norm,2
16.77874693966787,16.82911104244261,16.833402649043187,16.847974690812897,16.86007101501333,16.86700237338447,16.8685189245518,16.872002109680942,16.872556744241123,16.878504855042532,psi_norm,3
16.793557645196348,16.84391087906772,16.847974690812897,16.862874305697275,16.874882943401683,16.881737461712497,16.883333708410973,16.886782287778157,16.887353165464525,16.893278011602096,psi_norm,4
16.805566648104065,16.856007651714513,16.86007101501333,16.874882943401683,16.887044856416363,16.893820175911035,16.89541124920651,16.89890224463662,16.899466371911142,16.905418507435616,psi_norm,5
16.81230712863499,16.86278721816996,16.86700237338447,16.881737461712497,16.893820175911035,16.900754185043684,16.9022845047342,16.90576442697273,16.90632358580009,16.91227438628958,psi_norm,6
16.81398941900904,16.864456462328967,16.8685189245518,16.883333708410973,16.89541124920651,16.9022845047342,16.90392648622853,16.907364961665202,16.907913718001183,16.91387656285724,psi_norm,7
16.817425826020337,16.867873322675372,16.872002109680942,16.886782287778157,16.89890224463662,16.90576442697273,16.907364961665202,16.910866855620274,16.911382759528042,16.91733795279465,psi_norm,8
16.817943229236505,16.868403006274225,16.872556744241123,16.887353165464525,16.899466371911142,16.90632358580009,16.907913718001183,16.911382759528042,16.911980794243096,16.91789764884844,psi_norm,9
16.82389150118766,16.874410752124195,16.878504855042532,16.893278011602096,16.905418507435616,16.91227438628958,16.91387656285724,16.91733795279465,16.91789764884844,16.923894885261852,psi_norm,10
