x_max,signal,peak_omega,amp_norm
500000,theta_norm,13.602839522265075,0.7668229191325776
500000,theta_norm,14.403006552986549,1.0
500000,theta_norm,15.203173583708026,0.34739777685356765
500000,theta_norm,20.80434279875835,0.6246106965422609
500000,theta_norm,21.604509829479824,0.41744625957686665
500000,theta_norm,24.00501092164425,0.23213573691948422
500000,theta_norm,24.80517795236572,0.5335653450677875
500000,theta_norm,25.605344983087196,0.35323493167427245
500000,theta_norm,30.40634716741605,0.434704916883967
500000,theta_norm,31.20651419813752,0.24138550742321355
500000,theta_norm,32.80684825958047,0.4444450347475636
500000,theta_norm,33.60701529030195,0.24889497924012466
500000,theta_norm,37.60785044390932,0.4073132292283002
500000,theta_norm,40.80851856679522,0.3375333888133712
500000,theta_norm,43.20901965895965,0.3466847365040256
500000,theta_norm,48.0100218432885,0.2874102390627367
500000,theta_norm,49.61035590473144,0.3008791172123099
500000,theta_norm,52.81102402761735,0.28171819945147236
500000,theta_norm,59.212360273389145,0.23731229873888074
500000,theta_norm,60.8126943348321,0.22853821996832693
500000,psi_norm,13.602839522265075,0.8118604918649299
500000,psi_norm,14.403006552986549,1.0
500000,psi_norm,15.203173583708026,0.28168142357940956
500000,psi_norm,20.80434279875835,0.6957880863463677
500000,psi_norm,21.604509829479824,0.4933269871419373
500000,psi_norm,24.80517795236572,0.5567947379310975
500000,psi_norm,25.605344983087196,0.41358097414421174
500000,psi_norm,29.606180136694572,0.25758925114949976
500000,psi_norm,30.40634716741605,0.48913372496887114
500000,psi_norm,31.20651419813752,0.26491487444948486
500000,psi_norm,32.80684825958047,0.46110391137731777
500000,psi_norm,33.60701529030195,0.26753223392979875
500000,psi_norm,37.60785044390932,0.4051058442511638
500000,psi_norm,40.80851856679522,0.36110165980480435
500000,psi_norm,43.20901965895965,0.3398302946185263
500000,psi_norm,48.0100218432885,0.32965835719509357
500000,psi_norm,49.61035590473144,0.30132377887591444
500000,psi_norm,52.81102402761735,0.2852969531976496
500000,psi_norm,59.212360273389145,0.260167006749634
500000,psi_norm,60.8126943348321,0.2583480286821851
1000000,theta_norm,13.237875569321911,0.3739787842345226
1000000,theta_norm,13.973313100950909,1.0
1000000,theta_norm,14.708750632579903,0.7381863063133256
1000000,theta_norm,20.592250885611865,0.5196533263827124
1000000,theta_norm,21.327688417240857,0.5560688205744229
1000000,theta_norm,24.269438543756838,0.31109209887109845
1000000,theta_norm,25.004876075385834,0.549860621645358
1000000,theta_norm,25.74031360701483,0.25999861518348305
1000000,theta_norm,30.1529387967888,0.39630745572541554
1000000,theta_norm,30.888376328417795,0.3496058365003053
1000000,theta_norm,32.359251391675784,0.30972338066874405
1000000,theta_norm,33.09468892330478,0.4198668840909745
1000000,theta_norm,37.50731411307875,0.39782269212695415
1000000,theta_norm,38.242751644707745,0.2536238473127509
1000000,theta_norm,40.44906423959473,0.26303748684789113
1000000,theta_norm,41.18450177122373,0.30140912068446035
1000000,theta_norm,43.39081436611071,0.34114986325491653
1000000,theta_norm,47.80343955588469,0.2758051187115808
1000000,theta_norm,50.00975215077167,0.2787393234410696
1000000,theta_norm,52.951502277287645,0.2798698131707691
1000000,psi_norm,13.237875569321911,0.36244981334769305
1000000,psi_norm,13.973313100950909,1.0
1000000,psi_norm,14.708750632579903,0.6841107825914788
1000000,psi_norm,20.592250885611865,0.5611793256183707
1000000,psi_norm,21.327688417240857,0.6070860146009198
1000000,psi_norm,24.269438543756838,0.2754163279606092
1000000,psi_norm,25.004876075385834,0.5616658859751902
1000000,psi_norm,25.74031360701483,0.2898853409754096
1000000,psi_norm,30.1529387967888,0.4309403942985315
1000000,psi_norm,30.888376328417795,0.3676165185362043
1000000,psi_norm,32.359251391675784,0.3031381347407784
1000000,psi_norm,33.09468892330478,0.4229917554508865
1000000,psi_norm,37.50731411307875,0.3839624607786879
1000000,psi_norm,40.44906423959473,0.27225330354460614
1000000,psi_norm,41.18450177122373,0.3184826708340549
1000000,psi_norm,43.39081436611071,0.3207676028059645
1000000,psi_norm,47.80343955588469,0.29930467631059837
1000000,psi_norm,50.00975215077167,0.26886755136714774
1000000,psi_norm,52.951502277287645,0.277679745833863
1000000,psi_norm,56.628689935432625,0.24212265172956812
1500000,theta_norm,13.342120847856986,0.42243423150204584
1500000,theta_norm,14.0443377345863,1.0
1500000,theta_norm,14.746554621315614,0.6484009660418928
1500000,theta_norm,20.364289715150132,0.3383783356751552
