signal,true_band_energy,rand_mean,rand_std,rand_z,rand_emp_p,best_shift,zero_shift_rank,jitter02_z,jitter02_p,jitter04_z,jitter04_p,jitter06_z,jitter06_p
psi_norm,791850.0811798606,144761.3514778554,129811.31439787899,4.984840749078634,0.0,0.0,1,1.3206498966308493,0.05,1.4134153625673163,0.0,2.280483677696728,0.0
theta_norm,791292.714996308,144920.54707914044,130158.40308057428,4.96604254983854,0.0,0.050000000000000266,2,1.3178287511607307,0.05333333333333334,1.4153817881089996,0.0,2.2759068091404524,0.0
psi_minus_x,14550533713791.014,3330051408550.6074,2507599548413.413,4.474590973801911,0.0,0.050000000000000266,3,0.7234533374320267,0.18,1.2715585779225396,0.006666666666666667,2.198303074211088,0.0
theta_minus_x,14534728398984.066,3324914387684.3975,2508486269312.562,4.468756376478656,0.0,0.050000000000000266,3,0.7184137668577086,0.17666666666666667,1.2641236386015116,0.006666666666666667,2.1917423755032948,0.0
