peak_omega,amp_norm,nearest_zero,abs_gap
13.749878915663839,0.448245948040447,14.134725141,0.38484622533616175
14.111717834497098,1.0,14.134725141,0.023007306502902836
14.473556753330357,0.5477946234921864,14.134725141,0.3388316123303561
20.624818373495756,0.2874298988992001,21.022039639,0.39722126550424264
20.986657292329014,0.6565878839043453,21.022039639,0.0353823466709855
21.348496211162274,0.39019594441199634,21.022039639,0.3264565721622752
24.605046480661606,0.23406021539286403,25.01085758,0.40581109933839343
24.966885399494863,0.5577206885157915,25.01085758,0.043972180505136294
25.328724318328124,0.33217398962615247,25.01085758,0.3178667383281244
30.394469181993745,0.45444913997779784,30.424876126,0.030406944006255543
30.756308100827006,0.2550904901707902,30.424876126,0.33143197482700515
32.92734161382656,0.43331050165440704,32.935061588,0.0077199741734403915
37.63124755865893,0.37922294771898823,37.586178159,0.04506939965892798
40.887797828158256,0.3388043243537415,40.918719012,0.03092118384174114
43.05883134115781,0.2258212276287296,43.327073281,0.26824193984218425
43.42067025999106,0.3089538228483265,43.327073281,0.09359697899106578
48.124576204823434,0.2661054024483528,48.005150881,0.11942532382343529
49.57193188015647,0.2323916232166049,49.773832478,0.2019005978435331
49.93377079898973,0.25772433006703543,49.773832478,0.15993832098972405
52.8284821496558,0.2422719998217117,49.773832478,3.0546496716557954
