peak_omega,amp_norm,nearest_zero,abs_gap
13.65416793308047,0.029155263001596557,14.134725141,0.4805572079195297
14.080860680989236,0.048355626253566014,14.134725141,0.0538644600107645
14.507553428898,0.03545685757940314,14.134725141,0.37282828789799893
14.934246176806765,0.013094269562285989,14.134725141,0.7995210358067641
20.481251899620705,0.017411997649642613,21.022039639,0.5407877393792937
20.907944647529472,0.031916725977277204,21.022039639,0.11409499147052671
21.334637395438236,0.02645314873551294,21.022039639,0.31259775643823673
24.748179378708354,0.023532329460541943,25.01085758,0.26267820129164576
25.17487212661712,0.025730497323928774,25.01085758,0.16401454661712123
30.295185101522293,0.02179691480070919,30.424876126,0.12969102447770808
30.721877849431056,0.018087058640626336,30.424876126,0.29700172343105535
32.85534158897488,0.0199781442160376,32.935061588,0.07971999902512295
33.28203433688365,0.015929877457958586,32.935061588,0.34697274888364404
37.548961815971296,0.018149728803067946,37.586178159,0.037216343028703136
37.975654563880056,0.01325121207995251,37.586178159,0.38947640488005675
40.96250379924141,0.01667440975224081,40.918719012,0.04378478724141388
43.09596753878523,0.014339311585032254,43.327073281,0.23110574221476554
43.522660286694,0.014302658351918752,43.327073281,0.19558700569400145
48.216280513690414,0.01370191701287085,48.005150881,0.2111296326904153
49.92305150532547,0.013152229473097715,49.773832478,0.149219027325465
