x_max,signal,mean_abs_gap,median_abs_gap,mean_rel_gap,median_rel_gap
500000,psi_norm,0.12566740545774682,0.12313347522994178,0.005144180824045831,0.0030045479382051358
1000000,psi_norm,0.17506258755627666,0.18156168258220173,0.005898932687086186,0.0047932814523850165
1500000,psi_norm,0.17745028619539588,0.20025663895863133,0.005426164950038113,0.005077482086983229
2000000,psi_norm,0.17405379982953678,0.16453226878308236,0.005548470916660635,0.005602819228894667
5000000,psi_norm,0.13781895994103036,0.1164518674268793,0.004262879334834173,0.0042425741404010665
10000000,psi_norm,0.14211310167174176,0.11215158853741158,0.005302027682021248,0.0034085515040883415
50000000,psi_norm,0.13020832752491404,0.14863281284476315,0.00410017619932884,0.0038887692425115397
100000000,psi_norm,0.1370375261495159,0.16273816272403607,0.004618394839294564,0.004448893821655036
300000000,psi_norm,0.08986409242668518,0.09668316777960229,0.002885390518397565,0.0023959884352835283
500000000,psi_norm,0.11105294548496492,0.11308368701390847,0.003827072019381947,0.0037171215846136477
1000000000,psi_norm,0.1201316433310506,0.14110511168540185,0.004007098378392489,0.004086659379964587
3000000000,psi_norm,0.07501472286268189,0.06771324873175644,0.0026490542595547467,0.0020960518286367896
5000000000,psi_norm,0.08528063544807499,0.08360771960483149,0.0029745880871625795,0.0019847372972916447
10000000000,psi_norm,0.09280329240082015,0.12401763932546928,0.0027944897573940466,0.002663234140618218
30000000000,psi_norm,0.06054877508562342,0.0716021238660538,0.002258942092576776,0.0019475407223214394
50000000000,psi_norm,0.08714208962453913,0.0770489264375609,0.0030933377001599975,0.0025431730541856357
100000000000,psi_norm,0.05305869658119011,0.03953904588763635,0.0016196189971160295,0.001488304761716229
500000,theta_norm,0.12566740545774682,0.12313347522994178,0.005144180824045831,0.0030045479382051358
1000000,theta_norm,0.17506258755627666,0.18156168258220173,0.005898932687086186,0.0047932814523850165
1500000,theta_norm,0.17745028619539588,0.20025663895863133,0.005426164950038113,0.005077482086983229
2000000,theta_norm,0.17405379982953678,0.16453226878308236,0.005548470916660635,0.005602819228894667
5000000,theta_norm,0.13781895994103036,0.1164518674268793,0.004262879334834173,0.0042425741404010665
10000000,theta_norm,0.14211310167174176,0.11215158853741158,0.005302027682021248,0.0034085515040883415
50000000,theta_norm,0.13020832752491404,0.14863281284476315,0.00410017619932884,0.0038887692425115397
100000000,theta_norm,0.1370375261495159,0.16273816272403607,0.004618394839294564,0.004448893821655036
300000000,theta_norm,0.08986409242668518,0.09668316777960229,0.002885390518397565,0.0023959884352835283
500000000,theta_norm,0.11105294548496492,0.11308368701390847,0.003827072019381947,0.0037171215846136477
1000000000,theta_norm,0.1201316433310506,0.14110511168540185,0.004007098378392489,0.004086659379964587
3000000000,theta_norm,0.07501472286268189,0.06771324873175644,0.0026490542595547467,0.0020960518286367896
5000000000,theta_norm,0.08528063544807499,0.08360771960483149,0.0029745880871625795,0.0019847372972916447
10000000000,theta_norm,0.09280329240082015,0.12401763932546928,0.0027944897573940466,0.002663234140618218
30000000000,theta_norm,0.06054877508562342,0.0716021238660538,0.002258942092576776,0.0019475407223214394
50000000000,theta_norm,0.08748087414362064,0.0770489264375609,0.0031011569340344924,0.0025431730541856357
100000000000,theta_norm,0.05305869658119011,0.03953904588763635,0.0016196189971160295,0.001488304761716229
