x,u_logx,theta,psi,prime_power_corr,theta_minus_x,psi_minus_x,theta_norm,psi_norm
10,2.302585092994046,5.3471075307174685,7.832014180505469,2.4849066497880004,-4.6528924692825315,-2.1679858194945307,-1.4713737910777835,-0.685577312454939
11,2.3978952727983707,7.745002803515839,10.22990945330384,2.4849066497880004,-3.254997196484161,-0.7700905466961601,-0.9814185813087904,-0.23219103618098427
12,2.4849066497880004,7.745002803515839,10.22990945330384,2.4849066497880004,-4.254997196484161,-1.77009054669616,-1.2283118883956168,-0.51098112681252
13,2.5649493574615367,10.309952160977376,12.794858810765376,2.4849066497880004,-2.6900478390226237,-0.20514118923462377,-0.7460850320805515,-0.056895928961161336
14,2.6390573296152584,10.309952160977376,12.794858810765376,2.4849066497880004,-3.6900478390226237,-1.2051411892346238,-0.9862067681734443,-0.3220875309146616
15,2.70805020110221,10.309952160977376,12.794858810765376,2.4849066497880004,-4.690047839022624,-2.2051411892346238,-1.2109651448967136,-0.5693650067961143
16,2.772588722239781,10.309952160977376,13.488005991325322,3.1780538303479458,-5.690047839022624,-2.5119940086746784,-1.422511959755656,-0.6279985021686696
17,2.833213344056216,13.143165505033593,16.32121933538154,3.1780538303479458,-3.8568344949664066,-0.6787806646184613,-0.9354197648983671,-0.164628492755816
18,2.8903717578961645,13.143165505033593,16.32121933538154,3.1780538303479458,-4.856834494966407,-1.6787806646184613,-1.1447668688304957,-0.39569239735885775
19,2.9444389791664403,16.087604484200035,19.26565831454798,3.1780538303479458,-2.9123955157999646,0.2656583145479807,-0.668149354578582,0.060946197190841524
20,2.995732273553991,16.087604484200035,19.26565831454798,3.1780538303479458,-3.9123955157999646,-0.7343416854520193,-0.8748382328194073,-0.16420379273824834
21,3.044522437723423,16.087604484200035,19.26565831454798,3.1780538303479458,-4.912395515799965,-1.7343416854520193,-1.0719725854626179,-0.37846438354767475
22,3.091042453358316,16.087604484200035,19.26565831454798,3.1780538303479458,-5.912395515799965,-2.7343416854520193,-1.2605269593462511,-0.5829636060993777
23,3.1354942159291497,19.223098700129185,22.40115253047713,3.1780538303479458,-3.776901299870815,-0.5988474695228696,-0.787538361493967,-0.1248683292171231
24,3.1780538303479458,19.223098700129185,22.40115253047713,3.1780538303479458,-4.776901299870815,-1.5988474695228696,-0.9750808946934327,-0.32636337307259244
25,3.2188758248682006,19.223098700129185,24.01059044291123,4.787491742782046,-5.776901299870815,-0.98940955708877,-1.155380259974163,-0.197881911417754
26,3.258096538021482,19.223098700129185,24.01059044291123,4.787491742782046,-6.776901299870815,-1.98940955708877,-1.3290596911436,-0.3901553135432161
27,3.295836866004329,19.223098700129185,25.10920273157934,5.886104031450156,-7.776901299870815,-1.890797268420659,-1.4966653529805218,-0.36388410396855886
28,3.332204510175204,19.223098700129185,25.10920273157934,5.886104031450156,-8.776901299870815,-2.890797268420659,-1.6586784372298369,-0.546309333067564
29,3.367295829986474,22.59039453011566,28.476498561565815,5.886104031450156,-6.40960546988434,-0.5235014384341845,-1.190233855311654,-0.09721177664620899
30,3.4011973816621555,22.59039453011566,28.476498561565815,5.886104031450156,-7.40960546988434,-1.5235014384341845,-1.3528026860231064,-0.278152034740657
31,3.4339872044851463,26.024381734600805,31.91048576605096,5.886104031450156,-4.975618265399195,0.9104857660509609,-0.8936474213269603,0.16352807100266234
32,3.4657359027997265,26.024381734600805,32.60363294661091,6.579251212010101,-5.975618265399195,0.603632946610908,-1.0563500493114912,0.10670823747404756
33,3.4965075614664802,26.024381734600805,32.60363294661091,6.579251212010101,-6.975618265399195,-0.39636705338909195,-1.2142992764824427,-0.06899864755204006
34,3.5263605246161616,26.024381734600805,32.60363294661091,6.579251212010101,-7.975618265399195,-1.396367053389092,-1.3678072481527124,-0.23947497399584336
35,3.5553480614894135,26.024381734600805,32.60363294661091,6.579251212010101,-8.975618265399195,-2.396367053389092,-1.5171563931642233,-0.4050599622126059
36,3.58351893845611,26.024381734600805,32.60363294661091,6.579251212010101,-9.975618265399195,-3.396367053389092,-1.6626030442331992,-0.5660611755648487
37,3.6109179126442243,29.63529964724503,36.214550859255134,6.579251212010101,-7.364700352754969,-0.7854491407448663,-1.2107492798003245,-0.12912704331831906
38,3.6375861597263857,29.63529964724503,36.214550859255134,6.579251212010101,-8.36470035275497,-1.7854491407448663,-1.3569335785569019,-0.2896380969683311
39,3.6635616461296463,29.63529964724503,36.214550859255134,6.579251212010101,-9.36470035275497,-2.7854491407448663,-1.4995521784245014,-0.4460288284254417
40,3.6888794541139363,29.63529964724503,36.214550859255134,6.579251212010101,-10.36470035275497,-3.7854491407448663,-1.638803018992818,-0.5985320625740539
41,3.713572066704308,33.348871713949336,39.928122925959435,6.579251212010101,-7.651128286050664,-1.0718770740405645,-1.194905487124855,-0.1673990749350669
42,3.7376696182833684,33.348871713949336,39.928122925959435,6.579251212010101,-8.651128286050664,-2.0718770740405645,-1.334898075489428,-0.31969757323411624
43,3.7612001156935624,37.1100718296429,43.689323041653,6.579251212010101,-5.889928170357102,0.6893230416529974,-0.8982056253411921,0.1051207783494046
44,3.784189633918261,37.1100718296429,43.689323041653,6.579251212010101,-6.889928170357102,-0.3106769583470026,-1.0386957533442904,-0.04683631372026731
45,3.8066624897703196,37.1100718296429,43.689323041653,6.579251212010101,-7.889928170357102,-1.3106769583470026,-1.1761610484339347,-0.19538418502710386
46,3.828641396489095,37.1100718296429,43.689323041653,6.579251212010101,-8.889928170357102,-2.3106769583470026,-1.3107483995139768,-0.3406907307807298
47,3.8501476017100584,40.960219431352954,47.53947064336305,6.579251212010101,-6.039780568647046,0.5394706433630532,-0.8809925412948502,0.07868988080751546
48,3.871201010907891,40.960219431352954,47.53947064336305,6.579251212010101,-7.039780568647046,-0.46052935663694683,-1.0161048015860672,-0.0664716870060166
49,3.8918202981106265,40.960219431352954,49.48538079241837,8.525161361065415,-8.039780568647046,0.4853807924183684,-1.1485400812352924,0.06934011320262405
50,3.912023005428146,40.960219431352954,49.48538079241837,8.525161361065415,-9.039780568647046,-0.5146192075816316,-1.2784180281057422,-0.07277814628196384
51,3.9318256327243257,40.960219431352954,49.48538079241837,8.525161361065415,-10.039780568647046,-1.5146192075816316,-1.4058504778287866,-0.21208911112628445
52,3.9512437185814275,40.960219431352954,49.48538079241837,8.525161361065415,-11.039780568647046,-2.5146192075816316,-1.5309421119279971,-0.3487149419693153
53,3.970291913552122,44.93051134490508,53.45567270597049,8.525161361065415,-8.069488655094922,0.4556727059704926,-1.1084295124413868,0.06259145986813201
54,3.9889840465642745,44.93051134490508,53.45567270597049,8.525161361065415,-9.069488655094922,-0.5443272940295074,-1.2342010796079674,-0.07407356241345564
55,4.007333185232471,44.93051134490508,53.45567270597049,8.525161361065415,-10.069488655094922,-1.5443272940295074,-1.3577695732680346,-0.20823704984658495
56,4.02535169073515,44.93051134490508,53.45567270597049,8.525161361065415,-11.069488655094922,-2.5443272940295074,-1.4792226426480806,-0.34000003621700214
57,4.04305126783455,44.93051134490508,53.45567270597049,8.525161361065415,-12.069488655094922,-3.5443272940295074,-1.5986428256902683,-0.46945761849708717
58,4.060443010546419,44.93051134490508,53.45567270597049,8.525161361065415,-13.069488655094922,-4.544327294029507,-1.716107934601127,-0.5966994067260901
59,4.07753744390572,49.0080487888108,57.53321014987621,8.525161361065415,-9.991951211189203,-1.4667898501237886,-1.3008412467582464,-0.1909597732253419
60,4.0943445622221,49.0080487888108,57.53321014987621,8.525161361065415,-10.991951211189203,-2.4667898501237886,-1.4190547994420075,-0.3184612002707641
61,4.110873864173311,53.11892265298411,61.644084014049525,8.525161361065415,-7.881077347015889,0.6440840140495254,-1.00906855402174,0.08246650757355678
62,4.127134385045092,53.11892265298411,61.644084014049525,8.525161361065415,-8.88107734701589,-0.3559159859504746,-1.1278979509695328,-0.04520137541710829
63,4.143134726391533,53.11892265298411,61.644084014049525,8.525161361065415,-9.88107734701589,-1.3559159859504746,-1.244898730742758,-0.1708293570248526
64,4.1588830833596715,53.11892265298411,62.33723119460947,9.21830854162536,-10.88107734701589,-1.6627688053905274,-1.3601346683769862,-0.20784610067381593
65,4.174387269895637,53.11892265298411,62.33723119460947,9.21830854162536,-11.88107734701589,-2.6627688053905274,-1.4736662753709728,-0.33027582204903777
66,4.189654742026425,53.11892265298411,62.33723119460947,9.21830854162536,-12.88107734701589,-3.6627688053905274,-1.5855510160642934,-0.4508556733681094
67,4.204692619390966,57.32361527237508,66.54192381400044,9.21830854162536,-9.67638472762492,-0.458076185999559,-1.1821585455517745,-0.055962913116421646
68,4.219507705176107,57.32361527237508,66.54192381400044,9.21830854162536,-10.67638472762492,-1.458076185999559,-1.2947018215214348,-0.17681770956099777
69,4.23410650459726,57.32361527237508,66.54192381400044,9.21830854162536,-11.67638472762492,-2.458076185999559,-1.405671536392773,-0.2959175986013708
70,4.248495242049359,57.32361527237508,66.54192381400044,9.21830854162536,-12.67638472762492,-3.458076185999559,-1.515117768938688,-0.41331915907646366
71,4.2626798770413155,61.586295149416394,70.80460369104175,9.21830854162536,-9.413704850583606,-0.19539630895825155,-1.1172012252323131,-0.023189275555043225
72,4.276666119016055,61.586295149416394,70.80460369104175,9.21830854162536,-10.413704850583606,-1.1953963089582516,-1.2272668861871519,-0.14087880604495817
73,4.290459441148391,65.87675459056479,75.09506313219015,9.21830854162536,-7.123245409435214,2.0950631321901483,-0.8337128144798682,0.24520859243985352
74,4.30406509320417,65.87675459056479,75.09506313219015,9.21830854162536,-8.123245409435214,1.0950631321901483,-0.9443080977834131,0.12729850339251558
75,4.31748811353631,65.87675459056479,75.09506313219015,9.21830854162536,-9.123245409435214,0.09506313219014828,-1.0534616386040876,0.010976944991998217
76,4.330733340286331,65.87675459056479,75.09506313219015,9.21830854162536,-10.123245409435214,-0.9049368678098517,-1.1612158873786873,-0.10380337781756233
77,4.343805421853684,65.87675459056479,75.09506313219015,9.21830854162536,-11.123245409435214,-1.9049368678098517,-1.2676114589612584,-0.21708770357482782
78,4.356708826689592,65.87675459056479,75.09506313219015,9.21830854162536,-12.123245409435214,-2.9049368678098517,-1.3726872356402389,-0.328919330106103
79,4.3694478524670215,70.2462024430318,79.46451098465717,9.21830854162536,-8.753797556968195,0.4645109846571671,-0.9848791718500702,0.052261568868501265
80,4.382026634673881,70.2462024430318,79.46451098465717,9.21830854162536,-9.753797556968195,-0.5354890153428329,-1.090507718807613,-0.0598694919755501
81,4.394449154672439,70.2462024430318,80.56312327332527,10.31692083029347,-10.753797556968195,-0.43687672667472555,-1.1948663952186882,-0.04854185851941395
82,4.406719247264253,70.2462024430318,80.56312327332527,10.31692083029347,-11.753797556968195,-1.4368767266747255,-1.2979898013908007,-0.1586764897081201
83,4.418840607796598,74.6650430508284,84.98196388112187,10.31692083029347,-8.334956949171598,1.981963881121871,-0.9148803815717476,0.21754879873763677
84,4.430816798843313,74.6650430508284,84.98196388112187,10.31692083029347,-9.334956949171598,0.9819638811218709,-1.018527305446021,0.10714104321318076
85,4.442651256490317,74.6650430508284,84.98196388112187,10.31692083029347,-10.334956949171598,-0.01803611887812906,-1.1209834712599485,-0.001956291762752122
86,4.454347296253507,74.6650430508284,84.98196388112187,10.31692083029347,-11.334956949171598,-1.018036118878129,-1.2222798419707592,-0.10977765791989395
87,4.465908118654584,74.6650430508284,84.98196388112187,10.31692083029347,-12.334956949171598,-2.018036118878129,-1.3224461961891434,-0.21635618188046563
88,4.477336814478207,74.6650430508284,84.98196388112187,10.31692083029347,-13.334956949171598,-3.018036118878129,-1.421511187067305,-0.32172373126596165
