x_max,signal,median_gap,mean_gap,best_gap,rand_z,emp_p,best_shift,zero_shift_rank
500000,theta_norm,0.4405575599959306,0.5818680412703515,0.03688322113025144,3.0871116402966656,0.012,-0.19999999999999973,4
500000,psi_norm,0.45834570390638163,0.6105906713873817,0.03688322113025144,3.108858020121897,0.008,-0.19999999999999973,7
1000000,theta_norm,0.4016805659700484,0.569177082412268,0.002744821543949172,4.182117484464274,0.0,0.0,1
1000000,psi_norm,0.4016805659700484,0.569177082412268,0.002744821543949172,4.263590363396723,0.0,0.0,1
1500000,theta_norm,0.3819445442305218,0.5217570695370226,0.08783078417518198,1.1116560652109841,0.136,0.050000000000000266,29
1500000,psi_norm,0.3819445442305218,0.508514076704244,0.08783078417518198,1.144874580038266,0.136,0.050000000000000266,29
2000000,theta_norm,0.36907562607433064,0.5105562744067828,0.02531949133715017,3.2434315651149546,0.012,-0.04999999999999982,10
2000000,psi_norm,0.36907562607433064,0.530755453261495,0.02531949133715017,3.221928253028125,0.016,-0.04999999999999982,10
5000000,theta_norm,0.3332430263787973,0.6065140150318841,0.005479851756547305,3.62067033346761,0.012,0.20000000000000018,4
5000000,psi_norm,0.3332430263787973,0.6065140150318841,0.005479851756547305,3.6887759092715062,0.008,0.20000000000000018,4
10000000,theta_norm,0.3104210208814919,0.46071195244774116,0.0036160796139732554,3.9935228769643203,0.004,-0.19999999999999973,5
10000000,psi_norm,0.3104210208814919,0.4657837658400695,0.0036160796139732554,3.993220256465516,0.004,-0.19999999999999973,5
50000000,theta_norm,0.2678446838780033,0.41982325247692687,0.04527872330892535,5.615602730588493,0.0,0.10000000000000009,2
50000000,psi_norm,0.2678446838780033,0.41982325247692687,0.04527872330892535,5.636428484481618,0.0,0.10000000000000009,2
100000000,theta_norm,0.2528919017702336,0.4003411006934658,0.027221358133147078,4.95786637440803,0.0,0.0,1
100000000,psi_norm,0.2528919017702336,0.4003411006934658,0.027221358133147078,4.964100300064594,0.0,0.0,1
300000000,theta_norm,0.2323567099269095,0.38963121281330837,0.023938064863997965,5.114605712675326,0.004,0.10000000000000009,5
300000000,psi_norm,0.2323567099269095,0.3951139854772722,0.023938064863997965,5.122771833385394,0.0,0.10000000000000009,5
500000000,theta_norm,0.22389173359134418,0.3686644176269288,0.023783318586591662,5.070227658124987,0.0,-0.09999999999999964,5
500000000,psi_norm,0.22389173359134418,0.3686644176269288,0.023783318586591662,5.088593396181987,0.0,-0.09999999999999964,5
1000000000,theta_norm,0.2133463739543835,0.36115856342216696,0.037216343028703136,4.77119426764147,0.004,0.050000000000000266,5
1000000000,psi_norm,0.2133463739543835,0.3555584292073289,0.037216343028703136,4.7896245846246766,0.004,0.050000000000000266,5
