signal,true_band_energy,rand_mean,rand_std,rand_z,rand_emp_p,best_shift,zero_shift_rank,jitter02_z,jitter02_p,jitter04_z,jitter04_p,jitter06_z,jitter06_p
psi_norm,543895.7858645038,87671.42706458623,79991.44657214574,5.703414281781248,0.0,-0.04999999999999982,2,2.790948139727532,0.0033333333333333335,2.0724891095861198,0.0,2.7712821265040715,0.0
theta_norm,543820.3321800425,87763.60043644613,80176.84961948276,5.688134840767999,0.0,-0.04999999999999982,2,2.7822100657415634,0.0033333333333333335,2.0741174773188784,0.0,2.767199392489581,0.0
